2025-06-19T12:41:30.413235+00:00 | MONGO_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur lors de la création du panier : localhost:27017: [WinError 10061] Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée (configured timeouts: socketTimeoutMS: 5000.0ms, connectTimeoutMS: 5000.0ms), Timeout: 5.0s, Topology Description: <TopologyDescription id: 6854055a040c955fdd4d7f3f, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée (configured timeouts: socketTimeoutMS: 5000.0ms, connectTimeoutMS: 5000.0ms)')>]>
2025-06-19T13:05:10.219594+00:00 | MONGO_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:05:10.299970+00:00 | MARIADB_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:10:03.028405+00:00 | MONGO_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:10:03.110266+00:00 | MARIADB_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:11:18.091503+00:00 | MONGO_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:11:18.172493+00:00 | MARIADB_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:11:43.879170+00:00 | MONGO_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:11:43.963440+00:00 | MARIADB_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:12:13.726970+00:00 | MONGO_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:12:13.845006+00:00 | MARIADB_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:12:37.501717+00:00 | MONGO_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:12:37.583813+00:00 | MARIADB_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:13:23.713493+00:00 | MONGO_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:13:23.873049+00:00 | MARIADB_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=cannot unpack non-iterable bool object
2025-06-19T13:15:27.003148+00:00 | MONGO_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur lors de la création du panier : localhost:27017: [WinError 10061] Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée (configured timeouts: socketTimeoutMS: 5000.0ms, connectTimeoutMS: 5000.0ms), Timeout: 5.0s, Topology Description: <TopologyDescription id: 68540d5b6ed04064009fa0c7, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée (configured timeouts: socketTimeoutMS: 5000.0ms, connectTimeoutMS: 5000.0ms)')>]>
2025-06-19T13:15:36.817900+00:00 | MARIADB_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:22:11.613816+00:00 | MONGO_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:22:11.831620+00:00 | MARIADB_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:23:19.330960+00:00 | MONGO_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:23:19.549641+00:00 | MARIADB_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:23:50.121997+00:00 | MONGO_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:23:50.339193+00:00 | MARIADB_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:25:54.928415+00:00 | MONGO_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error=Erreur modification du panier
2025-06-19T13:25:55.145626+00:00 | MARIADB_CART INSERT FAILED | data={'user_id': '67371b2d1ed69fcb550f15e5'} | error='list' object has no attribute 'keys'
